,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,tweet_url
0,b'SinghGurprabh',2020-09-29 07:46:24,b'RT @ChopraDilpreet: This #PIL filed against #Twitter for promoting #Khalistan is a good initiative. #SikhCommunity is just trying to save t\xe2\x80\xa6',"[{'text': 'PIL', 'indices': [25, 29]}, {'text': 'Twitter', 'indices': [44, 52]}, {'text': 'Khalistan', 'indices': [67, 77]}, {'text': 'SikhCommunity', 'indices': [100, 114]}]",1,0,[]
1,b'Gurpreet246890',2020-09-29 07:44:02,b'@majorgauravarya #Khalistan is Voice of Sikhs.\nNever forget when the Indian State killed 35 Sikhs in the chatti sin\xe2\x80\xa6 https://t.co/F5msNWpAkn',"[{'text': 'Khalistan', 'indices': [17, 27]}]",0,0,"[{'url': 'https://t.co/F5msNWpAkn', 'expanded_url': 'https://twitter.com/i/web/status/1310847789501501441', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2,b'Gurpree91384693',2020-09-29 07:33:52,"b""RT @Jas_preet1984: Sikhs For Justice has been misleading the Sikh Community in the name of #Khalistan with the support of Pakistan. It's an\xe2\x80\xa6""","[{'text': 'Khalistan', 'indices': [91, 101]}]",6,0,[]
3,b'Jamshaid_2012',2020-09-29 07:19:54,b'RT @Suleman2552: The Sikh community all over in the world including India are protesting against Hindutva and RSS terrorism.\nAnd the #Refer\xe2\x80\xa6',[],52,0,[]
4,b'ChopraDilpreet',2020-09-29 07:08:52,b'This #PIL filed against #Twitter for promoting #Khalistan is a good initiative. #SikhCommunity is just trying to sa\xe2\x80\xa6 https://t.co/w8OrEmslpu',"[{'text': 'PIL', 'indices': [5, 9]}, {'text': 'Twitter', 'indices': [24, 32]}, {'text': 'Khalistan', 'indices': [47, 57]}, {'text': 'SikhCommunity', 'indices': [80, 94]}]",1,1,"[{'url': 'https://t.co/w8OrEmslpu', 'expanded_url': 'https://twitter.com/i/web/status/1310838939700391936', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
5,b'jmez1010',2020-09-29 06:53:52,"b""RT @Jasleen_Kaur11: \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82Now Coming this is a next plan Pakistan  puppet pannun team's. #Kashmir_With_India #ShameOnSFJ #ShameOnPannun #Khalis\xe2\x80\xa6""","[{'text': 'Kashmir_With_India', 'indices': [85, 104]}, {'text': 'ShameOnSFJ', 'indices': [105, 116]}, {'text': 'ShameOnPannun', 'indices': [117, 131]}]",5,0,[]
6,b'jmez1010',2020-09-29 06:51:23,"b""RT @DarrenVirk: #Pakistan around partition as we've never seen it before. Photographs coloured by Ehsan Rehan\nFirst photograph is #Gurdwara\xe2\x80\xa6""","[{'text': 'Pakistan', 'indices': [16, 25]}, {'text': 'Gurdwara', 'indices': [130, 139]}]",10,0,[]
7,b'jmez1010',2020-09-29 06:48:21,"b'RT @Harbaks21769227: #Pannun has no shame left. \xf0\x9f\x98\x92 Well, nobody is afraid of you by now whether you print #Khalistan pamphlets or write rubb\xe2\x80\xa6'","[{'text': 'Pannun', 'indices': [21, 28]}, {'text': 'Khalistan', 'indices': [105, 115]}]",13,0,[]
8,b'jmez1010',2020-09-29 06:39:49,"b""RT @Jasleen_Kaur11: Pannun, a Pakistani puppet who works for Pakistan, see this, Indian Sikh's answer to the Referendum2020  for you.#Shame\xe2\x80\xa6""",[],29,0,[]
9,b'jmez1010',2020-09-29 06:38:54,"b'RT @Preetka57645405: There is no #Khalistan, there is only #Khai (Garbage). Dear Sikhs, the quicker you realise Pannun\xe2\x80\x99s tricks, it will be\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [33, 43]}, {'text': 'Khai', 'indices': [59, 64]}]",19,0,[]
10,b'jmez1010',2020-09-29 06:33:42,"b""RT @kaurmahi829: #Pannun is not listening to #RealSikhs. He is in his own (imaginary) world and doesn't care about the #SikhCommunity. He i\xe2\x80\xa6""","[{'text': 'Pannun', 'indices': [17, 24]}, {'text': 'RealSikhs', 'indices': [45, 55]}, {'text': 'SikhCommunity', 'indices': [119, 133]}]",33,0,[]
11,b'saysSubodh',2020-09-29 05:59:49,b'@TanvirSandhu16 @prakasht291 @rana134788 @surxrjzs @nc_noor @kkr_kp @reachmnc @86_nids @KRSAHIL @pahadan_ @yash19l\xe2\x80\xa6 https://t.co/FLJLDcOC5g',[],0,0,"[{'url': 'https://t.co/FLJLDcOC5g', 'expanded_url': 'https://twitter.com/i/web/status/1310821564724596736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
12,b'RudreshScharma',2020-09-29 05:34:22,"b""RT @Jas_preet1984: Sikhs For Justice has been misleading the Sikh Community in the name of #Khalistan with the support of Pakistan. It's an\xe2\x80\xa6""","[{'text': 'Khalistan', 'indices': [91, 101]}]",6,0,[]
13,b'HBSJD',2020-09-29 05:30:15,b'RT @Charan_Jeet00: Gherao @capt_amarinder \n30 sept is the #TruckRally day\n#Modi \n\nSolution To #Farmersbill2020 Is #SFJ #Khalistan\n#Register\xe2\x80\xa6',"[{'text': 'TruckRally', 'indices': [58, 69]}, {'text': 'Modi', 'indices': [74, 79]}, {'text': 'Farmersbill2020', 'indices': [94, 110]}, {'text': 'SFJ', 'indices': [114, 118]}, {'text': 'Khalistan', 'indices': [119, 129]}]",1,0,[]
14,b'KaranpreetDhil3',2020-09-29 05:22:34,"b""RT @Jas_preet1984: Sikhs For Justice has been misleading the Sikh Community in the name of #Khalistan with the support of Pakistan. It's an\xe2\x80\xa6""","[{'text': 'Khalistan', 'indices': [91, 101]}]",6,0,[]
15,b'Main_Amitabh',2020-09-29 05:18:52,"b'There are some pigs in #India, no no not the regular pigs who demand loha sharia, but those pigs who demand\xe2\x80\xa6 https://t.co/NsIC2FqQr4'","[{'text': 'India', 'indices': [23, 29]}]",0,0,"[{'url': 'https://t.co/NsIC2FqQr4', 'expanded_url': 'https://twitter.com/i/web/status/1310811258346590209', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]"
16,b'Charan_Jeet00',2020-09-29 04:24:14,b'Gherao @capt_amarinder \n30 sept is the #TruckRally day\n#Modi \n\nSolution To #Farmersbill2020 Is #SFJ #Khalistan\xe2\x80\xa6 https://t.co/9AZjS7h3TL',"[{'text': 'TruckRally', 'indices': [39, 50]}, {'text': 'Modi', 'indices': [55, 60]}, {'text': 'Farmersbill2020', 'indices': [75, 91]}, {'text': 'SFJ', 'indices': [95, 99]}, {'text': 'Khalistan', 'indices': [100, 110]}]",1,0,"[{'url': 'https://t.co/9AZjS7h3TL', 'expanded_url': 'https://twitter.com/i/web/status/1310797508981993473', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]"
17,b'Jashan31989962',2020-09-29 04:02:41,"b""RT @kaurmahi829: #Pannun is not listening to #RealSikhs. He is in his own (imaginary) world and doesn't care about the #SikhCommunity. He i\xe2\x80\xa6""","[{'text': 'Pannun', 'indices': [17, 24]}, {'text': 'RealSikhs', 'indices': [45, 55]}, {'text': 'SikhCommunity', 'indices': [119, 133]}]",33,0,[]
18,b'PoonamJoshi_',2020-09-29 03:00:25,"b'If an MP barrs a journalist from viewing their tweets It just means an MP is scared , of being held accountable, of\xe2\x80\xa6 https://t.co/x9lopbzfdq'",[],0,0,"[{'url': 'https://t.co/x9lopbzfdq', 'expanded_url': 'https://twitter.com/i/web/status/1310776415982215168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
19,b'papasharma00',2020-09-29 02:09:41,"b'RT @Amarjot42854873: What would you call this video after watching it? A tight Slap or a dose of humiliation for #SFJ, the #KhalistaniSepar\xe2\x80\xa6'","[{'text': 'SFJ', 'indices': [113, 117]}]",23,0,[]
